  PID  PPID USER         NAME                       
    1     0 root         init
    2     0 root         [kthreadd]
    3     2 root         [pool_workqueue_release]
    4     2 root         [kworker/R-kvfree_rcu_reclaim]
    5     2 root         [kworker/R-rcu_gp]
    6     2 root         [kworker/R-sync_wq]
    7     2 root         [kworker/R-slub_flushwq]
    8     2 root         [kworker/R-netns]
   14     2 root         [kworker/R-mm_percpu_wq]
   15     2 root         [rcu_tasks_kthread]
   16     2 root         [rcu_tasks_trace_kthread]
   17     2 root         [ksoftirqd/0]
   18     2 root         [rcu_preempt]
   19     2 root         [rcuog/0]
   20     2 root         [rcuop/0]
   21     2 root         [rcub/0]
   22     2 root         [rcu_exp_par_gp_kthread_worker/0]
   23     2 root         [rcu_exp_gp_kthread_worker]
   24     2 root         [migration/0]
   25     2 root         [idle_inject/0]
   26     2 root         [cpuhp/0]
   27     2 root         [cpuhp/1]
   28     2 root         [idle_inject/1]
   29     2 root         [migration/1]
   30     2 root         [ksoftirqd/1]
   33     2 root         [rcuop/1]
   34     2 root         [cpuhp/2]
   35     2 root         [idle_inject/2]
   36     2 root         [migration/2]
   37     2 root         [ksoftirqd/2]
   40     2 root         [rcuop/2]
   41     2 root         [cpuhp/3]
   42     2 root         [idle_inject/3]
   43     2 root         [migration/3]
   44     2 root         [ksoftirqd/3]
   47     2 root         [rcuop/3]
   48     2 root         [cpuhp/4]
   49     2 root         [idle_inject/4]
   50     2 root         [migration/4]
   51     2 root         [ksoftirqd/4]
   54     2 root         [rcuog/4]
   55     2 root         [rcuop/4]
   56     2 root         [cpuhp/5]
   57     2 root         [idle_inject/5]
   58     2 root         [migration/5]
   59     2 root         [ksoftirqd/5]
   62     2 root         [rcuop/5]
   63     2 root         [cpuhp/6]
   64     2 root         [idle_inject/6]
   65     2 root         [migration/6]
   66     2 root         [ksoftirqd/6]
   68     2 root         [kworker/6:0H-migt_wq]
   69     2 root         [rcuop/6]
   70     2 root         [cpuhp/7]
   71     2 root         [idle_inject/7]
   72     2 root         [migration/7]
   73     2 root         [ksoftirqd/7]
   75     2 root         [kworker/7:0H-migt_wq]
   76     2 root         [rcuop/7]
   79     2 root         [kworker/R-inet_frag_wq]
   80     2 root         [kauditd]
   81     2 root         [khungtaskd]
   82     2 root         [oom_reaper]
   84     2 root         [kworker/R-writeback]
   85     2 root         [kcompactd0]
   86     2 root         [khugepaged]
   87     2 root         [kworker/R-kblockd]
   90     2 root         [kworker/R-edac-poller]
   91     2 root         [kworker/R-devfreq_wq]
   92     2 root         [watchdogd]
   94     2 root         [kworker/R-quota_events_unbound]
   96     2 root         [kworker/7:1H-events_highpri]
   98     2 root         [kswapd0]
  103     2 root         [kworker/R-nvme-wq]
  104     2 root         [kworker/R-nvme-reset-wq]
  105     2 root         [kworker/R-nvme-delete-wq]
  106     2 root         [kworker/R-vfio-irqfd-cleanup]
  107     2 root         [kworker/R-uas]
  108     2 root         [kworker/R-dm_bufio_cache]
  109     2 root         [hwrng]
  110     2 root         [irq/15-gunyah_rm_tx]
  111     2 root         [irq/16-gunyah_rm_rx]
  112     2 root         [kworker/R-mld]
  113     2 root         [kworker/R-ipv6_addrconf]
  129     2 root         [kworker/u38:0]
  134     2 root         [kworker/R-mikblockd]
  135     2 root         [mi_mempool]
  139     2 root         [dmabuf-deferred-free-worker]
  140     2 root         [kshrink_slabd]
  141     2 root         [lb:g_manager]
  146     2 root         [kworker/R-miev_workqueue]
  152     2 root         [dpool-refill]
  153     2 root         [qcom,system-pool-refill-thread]
  154     2 root         [reserve-refill]
  158     2 root         [qrtr_ns]
  159     2 root         [adci_thread]
  162     2 root         [irq/29-c229000.tsens0]
  163     2 root         [irq/30-c229000.tsens0]
  164     2 root         [irq/32-c22a000.tsens1]
  165     2 root         [irq/33-c22a000.tsens1]
  166     2 root         [irq/34-c22b000.tsens2]
  167     2 root         [irq/35-c22b000.tsens2]
  168     2 root         [irq/36-c22c000.tsens3]
  169     2 root         [irq/37-c22c000.tsens3]
  170     2 root         [irq/38-c22d000.tsens4]
  171     2 root         [irq/39-c22d000.tsens4]
  172     2 root         [irq/40-c22e000.tsens5]
  173     2 root         [irq/41-c22e000.tsens5]
  174     2 root         [irq/42-c22f000.tsens6]
  175     2 root         [irq/43-c22f000.tsens6]
  176     2 root         [irq/44-qcom,qmp-tme]
  178     2 root         [mem_buf_trusted_vm_rcvr]
  179     2 root         [mem_buf_oem_vm_rcvr]
  180     2 root         [msm-watchdog]
  186     2 root         [irq/52-bcl-lvl0]
  188     2 root         [irq/53-bcl-lvl1]
  189     2 root         [irq/54-bcl-lvl2]
  190     2 root         [irq/55-bcl-lvl0]
  191     2 root         [irq/56-bcl-lvl1]
  192     2 root         [irq/57-bcl-lvl2]
  200     2 root         [halt_drain_rqs]
  201     2 root         [g_reclaim_thread]
  202     2 root         [migt_thread]
  203     2 root         [kworker/R-freq_qos_workqueue]
  209     2 root         [core_ctl]
  211     2 root         [kworker/6:2H-kblockd]
  216     2 root         [irq/86-arm-smmu-context-fault]
  217     2 root         [irq/87-arm-smmu-context-fault]
  218     2 root         [irq/89-arm-smmu-context-fault]
  219     2 root         [irq/90-arm-smmu-context-fault]
  220     2 root         [irq/91-arm-smmu-context-fault]
  221     2 root         [irq/92-arm-smmu-context-fault]
  222     2 root         [irq/93-arm-smmu-context-fault]
  223     2 root         [irq/94-arm-smmu-context-fault]
  224     2 root         [irq/95-arm-smmu-context-fault]
  225     2 root         [scsi_eh_0]
  226     2 root         [kworker/R-scsi_tmf_0]
  228     2 root         [kworker/R-qc_ufs_qos_swq]
  229     2 root         [kworker/R-ufs_eh_wq_0]
  233     2 root         [f2fs_ckpt-259:4]
  234     2 root         [f2fs_flush-259:4]
  235     2 root         [f2fs_discard-259:4]
  236     2 root         [f2fs_gc-259:4]
  237     2 root         [kworker/R-kdmflush/254:0]
  238     2 root         [kworker/R-kdmflush/254:1]
  239     2 root         [kworker/R-kdmflush/254:2]
  240     2 root         [kworker/R-kdmflush/254:3]
  241     2 root         [kworker/R-kdmflush/254:4]
  242     2 root         [kworker/R-kdmflush/254:5]
  243     2 root         [kworker/R-kdmflush/254:6]
  244     2 root         [kworker/R-kdmflush/254:7]
  245     2 root         [kworker/R-kdmflush/254:8]
  246     2 root         [kworker/R-kdmflush/254:9]
  247     2 root         [kworker/R-kdmflush/254:10]
  248     2 root         [kworker/R-kverityd]
  250     2 root         [erofs_worker/0]
  251     2 root         [erofs_worker/1]
  252     2 root         [erofs_worker/2]
  253     2 root         [erofs_worker/3]
  254     2 root         [erofs_worker/4]
  255     2 root         [erofs_worker/5]
  256     2 root         [erofs_worker/6]
  257     2 root         [erofs_worker/7]
  258     2 root         [kworker/R-kdmflush/254:11]
  259     2 root         [kworker/R-kverityd]
  260     2 root         [kworker/R-kdmflush/254:12]
  261     2 root         [kworker/R-kverityd]
  262     2 root         [kworker/R-kdmflush/254:13]
  263     2 root         [kworker/R-kverityd]
  264     2 root         [kworker/R-kdmflush/254:14]
  265     2 root         [kworker/R-kverityd]
  266     2 root         [kworker/R-kdmflush/254:15]
  267     2 root         [kworker/R-kverityd]
  268     2 root         [kworker/R-kdmflush/254:16]
  269     2 root         [kworker/R-kverityd]
  270     2 root         [kworker/R-kdmflush/254:17]
  271     2 root         [kworker/R-kverityd]
  272     2 root         [kworker/R-kdmflush/254:18]
  273     2 root         [kworker/R-kverityd]
  278     1 root         init
  279     1 root         ueventd
  332     2 root         [kworker/R-kdmflush/254:20]
  333     2 root         [kworker/R-kdmflush/254:21]
  336     2 root         [kworker/R-kdmflush/254:24]
  338     2 root         [kworker/R-kdmflush/254:26]
  341     2 root         [kworker/R-kdmflush/254:29]
  342     2 root         [kworker/R-kdmflush/254:30]
  344     2 root         [kworker/R-kdmflush/254:32]
  346     2 root         [kworker/R-kdmflush/254:34]
  347     2 root         [kworker/R-kdmflush/254:35]
  348     2 root         [kworker/R-kdmflush/254:36]
  349     2 root         [kworker/R-kdmflush/254:37]
  350     2 root         [kworker/R-kdmflush/254:38]
  351     2 root         [kworker/R-kdmflush/254:39]
  354     2 root         [kworker/R-kdmflush/254:42]
  357     2 root         [kworker/R-kdmflush/254:45]
  359     2 root         [kworker/R-kdmflush/254:47]
  361     2 root         [kworker/R-kdmflush/254:49]
  362     2 root         [kworker/R-kdmflush/254:50]
  363     2 root         [kworker/R-kdmflush/254:51]
  364     2 root         [kworker/R-kdmflush/254:52]
  365     2 root         [kworker/R-kdmflush/254:53]
  366     2 root         [kworker/R-kdmflush/254:54]
  368     2 root         [kworker/R-kdmflush/254:56]
  371     2 root         [kworker/R-kdmflush/254:59]
  374     2 root         [kworker/R-kdmflush/254:62]
  379     2 root         [kworker/R-ext4-rsv-conversion]
  380     2 root         [kworker/R-ext4-rsv-conversion]
  437  1977 u0_a294      com.android.deskclock
  503     2 root         [krfcommd]
  521     2 root         [xswapd0]
  561     2 root         [dma_dio_fwork_t]
  609     2 root         [kworker/R-screen_state_wq]
  617     1 prng_seeder  prng_seeder
  648     2 root         [irq/238-pmic_pwrkey]
  681     2 root         [irq/239-pmic_resin]
  791     2 root         [irq/240-pmic_pwrkey_bark]
  792     2 root         [irq/241-pmic_pwrkey_resin_bark]
  948     2 root         [kworker/R-matt_wq]
  949     2 root         [spi0]
  950     2 root         [irq/242-wcd-usbss-sdam]
  952     2 root         [minet_thread]
  953     2 root         [Surge kthread]
  954     2 root         [irq/249-smp2p_2]
  959     2 root         [msm_perf:events_notify]
  960     2 root         [kworker/R-rss_mon_wq]
  963     2 root         [kworker/R-powersave_wq]
  964     2 root         [kworker/R-tls-strp]
  965     2 root         [kworker/R-cpucp_wq]
  968     2 root         [hang_detect]
  969     2 root         [hang_detect1]
  971     2 root         [cdsprm-wq]
  972     2 root         [irq/246-pmh0104-temp-alarm]
  973     2 root         [kworker/R-cdsprm-wq-delay]
  974     2 root         [kworker/R-bwmon_wq]
  975     2 root         [irq/292-310b3400.qcom,bwmon-llcc-gold]
  977     2 root         [irq/293-regulator-ocp]
  979     2 root         [irq/295-protocol_irq]
  980     2 root         [irq/297-smp2p_5]
  982     2 root         [irq/300-smp2p_1]
  983     2 root         [irq/301-smp2p_19]
  984     2 root         [spi15]
  985     2 root         [kworker/R-memlat_wq]
  986     2 root         [irq/303-smp2p_22]
  987     2 root         [irq/304-regulator-alarm]
  988     2 root         [kworker/R-cfg80211]
  989     2 root         [mitee_msgq_recv_task]
 1000     2 root         [mitee_worker/0]
 1003     2 root         [irq/96-arm-smmu-context-fault]
 1006     2 root         [spi17]
 1033     2 root         [ssr_worker_thread]
 1034     2 root         [irq/292-310b7400.qcom,bwmon-llcc-prime]
 1035     2 root         [kthread_spi_cnss_writer]
 1036     2 root         [kthread_spi_cnss_reader]
 1037     2 root         [irq/316-31091000.qcom,bwmon-ddr]
 1038     2 root         [hfi_core_dbg_client_listener]
 1039     2 root         [khvcd]
 1041     2 root         [predo_worker]
 1042     2 root         [irq/97-arm-smmu-context-fault]
 1043     2 root         [umms_refill]
 1045     2 root         [spi19]
 1047     2 root         [kworker/R-cs35l43_mbox]
 1048     2 root         [kworker/R-cs35l43_err]
 1051     2 root         [irq/317-cs35l43]
 1052     1 media        audioadsprpcd
 1053     2 root         [irq/305-pmr735d-temp-alarm]
 1054     2 root         [kworker/R-cs35l43_mbox]
 1055     2 root         [kworker/R-cs35l43_err]
 1056     2 root         [irq/319-cs35l43]
 1057     2 root         [irq/320-pm8010m-temp-alarm]
 1059     2 root         [irq/321-qpt_data_irq]
 1060     2 root         [irq/322-qpt_overflow_irq]
 1061     2 root         [mi_t1_vctrl2]
 1062     2 root         [irq/98-arm-smmu-context-fault]
 1063     2 root         [msm_hw_fence_soccp_listener]
 1068     2 root         [irq/99-arm-smmu-context-fault]
 1070     1 logd         logd
 1071     1 lmkd         lmkd
 1072     2 root         [irq/331-nuvolta_1671_chg_stat_irq]
 1073     1 system       servicemanager
 1074     2 root         [irq/332-nuvolta_1671_power_good_irq]
 1075     2 root         [irq/333-nuvolta_1671_hall_n_int_irq]
 1076     2 root         [kworker/R-qcrypto_seq_response_wq]
 1077     2 root         [irq/100-arm-smmu-context-fault]
 1078     2 root         [irq/334-nuvolta_1671_hall_s_int_irq]
 1080     1 system       vndservicemanager
 1081     2 root         [kworker/R-k_ipa_usb]
 1085     2 root         [irq/336-q6v5 wdog]
 1097     2 root         [kworker/R-pm_workq]
 1099     2 root         [psimon]
 1100     2 root         [kworker/R-batch_workq]
 1102     2 root         [kworker/R-pmic_glink_rx]
 1108     2 root         [irq/342-msm-vidc]
 1109     2 root         [kworker/R-mpcie_wq]
 1110     2 root         [kworker/R-pmic_glink_rx]
 1112     2 root         [kworker/R-screen_state_wq]
 1115     2 root         [charger_event_thread]
 1116     2 root         [irq/347-int_global_int]
 1120     1 system       android.hardware.security.onekeymint-service-qti
 1121     2 root         [irq/101-arm-smmu-context-fault]
 1122     1 system       qseecomd
 1123     2 root         [irq/102-arm-smmu-context-fault]
 1124     2 root         [kworker/R-kgsl-workqueue]
 1125     2 root         [kworker/R-kgsl-lockless-work]
 1129     2 root         [irq/103-arm-smmu-context-fault]
 1130     2 root         [kworker/R-ipa_power_mgmt]
 1132     2 root         [kworker/R-transport_power_mgmt]
 1133     2 root         [kworker/R-page_recycle_stats_collection]
 1134     2 root         [irq/104-arm-smmu-context-fault]
 1135     2 root         [kworker/R-ipa_pm_activate]
 1136     2 root         [kworker/R-ipa_usb_wq]
 1137     2 root         [kworker/R-rmnet_ctlwq]
 1138     2 root         [kworker/R-rmnet_llwq]
 1139     1 root         vold
 1141     2 root         [irq/105-arm-smmu-context-fault]
 1142     2 root         [irq/106-arm-smmu-context-fault]
 1143     2 root         [kworker/R-byte-cntr]
 1144     2 root         [irq/107-arm-smmu-context-fault]
